"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","z_score"
6,2017,8,10,2017-08-10,67.8,66,1024.2,8.8,6,8.9,NA,75,59,0,1,650,0.973932074677049
3,2018,7,16,2018-07-16,68.7,67.9,1015.6,2.6,4.7,8.9,NA,75,61,0,1,719,1.40225510266229
1,2019,8,31,2019-08-31,70.3,60.1,1020.7,9.1,5.3,8.9,NA,79,57.9,0,1,502,0.055210217549286
6,2015,8,13,2015-08-13,71.1,65.8,1014.7,8.4,5.2,8.9,NA,79,63,0,1,714,1.37121720208365
4,2017,8,15,2017-08-15,67.8,66.8,1014.6,4.3,4,8.9,NA,79,61,0,1,577,0.520778726228896
4,2019,7,16,2019-07-16,70.3,65.9,1017.6,8.7,5.3,8.9,NA,79,60.1,0,1,658,1.02359271560287
3,2012,7,30,2012-07-30,73.1,65.1,1018.6,10,2.2,8.9,NA,79,64.9,0.01,0,530,0.229022460789674
6,2017,8,17,2017-08-17,68,60.8,1016.6,9.1,5.2,8.9,NA,79,62.1,0,0,639,0.90564869340404
2,2018,9,2,2018-09-02,67,64,1024.9,10,5,8.9,NA,79,55.9,0,0,528,0.216607300558217
3,2016,1,25,2016-01-25,33.5,21.2,1021.4,10,6.5,8.9,NA,37.9,30,0.02,0,658,1.02359271560287
5,2016,2,10,2016-02-10,33.5,28,1002.2,9.1,4.2,8.9,NA,37.9,28,0,0,537,0.272475521599771
1,2019,12,21,2019-12-21,33.3,25.6,1035.1,10,5.2,8.9,NA,39.9,19.9,0,0,520,0.166946659632392
7,2017,4,14,2017-04-14,47.5,34.1,1027.8,10,5,8.9,NA,57.9,37.9,0,0,515,0.135908759053752
4,2014,4,22,2014-04-22,49.5,43.2,1007.7,10,5.6,8.9,NA,57.9,34,0,0,459,-0.211715727427024
5,2019,7,3,2019-07-03,70.2,65.1,1009.9,9.2,5,8.9,NA,80.1,59,0,0,654,0.998762395139962
1,2015,7,25,2015-07-25,68.5,60.2,1015,9.7,4.4,8.9,NA,80.1,60.1,0,0,451,-0.261376368352849
6,2019,7,4,2019-07-04,66.6,63.7,1017.9,6.3,3.7,8.9,NA,80.1,59,0,1,394,-0.615208434949352
4,2016,8,9,2016-08-09,71.5,64.7,1021.5,10,6.6,8.9,27,80.1,62.1,0,0,650,0.973932074677049
4,2018,5,22,2018-05-22,54.6,49.5,1021.1,10,7,8.9,NA,69.1,48,0,0,689,1.21602769919045
2,2019,6,9,2019-06-09,57.7,43.7,1026.7,10,5.3,8.9,NA,69.1,45,0,0,526,0.204192140326761
